"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","71","76","6","54.726700","0","84"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","87","34","2","81.419189","0","447"
"/OpenXR/Devices/M_XRController.M_XRController","0","36","36","3","36.221458","0","39"
"Globals","0","602","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","15","2","1","13.802818","0","68"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","1","1","4.304368","0","35"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","3","1","19.200350","0","146"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","6.990030","0","14"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","10","1","6.733794","0","14"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.517311","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","12","1","1","10.969508","0","28"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","24","7","1","19.568132","0","65"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","1.467786","0","2"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","8","1","6.958241","0","15"
"/CloudsLighting/Billboards/Mat_VolumetricLightSourceBillboard.Mat_VolumetricLightSourceBillboard","0","22","1","1","13.086596","0","82"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","68","5","1","82.580109","0","537"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","94","10","1","122.190651","0","961"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","9.867574","0","4"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","681","10","1","434.601715","0","31919"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","85","3","1","68.256287","0","594"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","147","10","1","134.911102","0","1595"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","1.368057","0","2"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","6.701056","0","14"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","74","11","1","69.581497","0","470"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","121","1","1","103.027222","0","975"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","74","11","1","57.909122","0","510"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","74","9","1","62.092369","0","536"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","8","8","1","5.218703","0","12"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","10","1","20.421980","0","64"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","8","8","1","6.354784","0","14"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","1.618623","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","2","1","10.087964","0","28"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","6.028447","0","8"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","50","9","1","48.502415","0","184"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","52","9","1","237.155746","0","402"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","6","1","3.127043","0","6"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","19","19","1","8.213913","0","19"
